id,card_text
table:wp_actionscheduler_actions,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_actionscheduler_actions ACCESSED_BY_FUNCTIONS:ActionScheduler_DBStore->fetch_action() ActionScheduler_DBStore->get_date_gmt() ActionScheduler_DBStore->query_actions() ActionScheduler_DBStore->get_status() ActionScheduler_DBStore->get_claim_id() ActionScheduler_DBStore->find_actions_by_claim_id() ActionScheduler_DBStore->mark_complete() ActionScheduler_DBStore->release_claim() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/functions.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Abstract_QueueRunner.ph
table:wp_actionscheduler_claims,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_actionscheduler_claims ACCESSED_BY_FUNCTIONS:ActionScheduler_DBStore->generate_claim_id() ActionScheduler_DBStore->release_claim() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/data-stores/ActionScheduler_DBStore.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_QueueRunner.php
table:wp_actionscheduler_logs,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_actionscheduler_logs ACCESSED_BY_FUNCTIONS:ActionScheduler_DBLogger->get_logs() ActionScheduler_DBLogger->log() ACCESSED_BY_FILES:/var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/ActionScheduler_ListTable.php /var/www/html/wp-content/plugins/woocommerce/packages/action-scheduler/classes/abstracts/ActionScheduler_Logger.php
table:wp_commentmeta,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_commentmeta ACCESSED_BY_FUNCTIONS:add_metadata() update_meta_cache() ACCESSED_BY_FILES:/var/www/html/wp-includes/comment.php /var/www/html/wp-includes/class-wp-metadata-lazyloader.php
table:wp_comments,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_comments ACCESSED_BY_FUNCTIONS:_prime_comment_caches() WP_Comment::get_instance() wp_insert_comment() wp_set_comment_status() ACCESSED_BY_FILES:/var/www/html/wp-includes/class-wp-comment-query.php /var/www/html/wp-includes/comment.php
table:wp_options,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_options ACCESSED_BY_FUNCTIONS:update_option() delete_option() sanitize_option() ACCESSED_BY_FILES:/var/www/html/wp-includes/option.php /var/www/html/wp-includes/taxonomy.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Pages/Admin.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Projects.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Utillities.php /var/www/html/wp-content/plugins/zephyr-project-manager/includes/Core/Members.php
table:wp_postmeta,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_postmeta ACCESSED_BY_FUNCTIONS:update_meta_cache() add_metadata() update_metadata() has_meta() get_metadata_by_mid() update_metadata_by_mid() WC_Data_Store_WP->read_meta() ACCESSED_BY_FILES:/var/www/html/wp-includes/meta.php /var/www/html/wp-includes/post.php /var/www/html/wp-admin/includes/meta-boxes.php /var/www/html/wp-admin/includes/post.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-data-store.php
table:wp_posts,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_posts ACCESSED_BY_FUNCTIONS:WP_Post::get_instance() _prime_post_caches() wp_insert_post() wp_allow_comment() AutomatticWBBAbstractProductGrid->prime_product_variations() ACCESSED_BY_FILES:/var/www/html/wp-includes/post.php /var/www/html/wp-includes/class-wp-query.php /var/www/html/wp-admin/includes/post.php /var/www/html/wp-content/plugins/woocommerce/src/Blocks/Assets/AssetDataRegistry.php /var/www/html/wp-includes/class-wp-comment-query.php /var/www/html/wp-includes/comment.php /var/www/html/wp-admin/includes/class-wp-posts-list-table.php /var/www/html/wp-content/plugins/woocommerce/src/Blocks/BlockTypes/AbstractProductGrid.php /var/www/html/wp-content/plugins/woocommerce/includes/class-wc-cart-session.php /var/www/html/wp-content/plugins/woocommerce/src/Internal/DataStores/Orders/OrdersTableDataStore.php
table:wp_term_relationships,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_term_relationships ACCESSED_BY_FUNCTIONS:wp_set_object_terms() ACCESSED_BY_FILES:/var/www/html/wp-includes/post.php /var/www/html/wp-content/plugins/woocommerce/includes/data-stores/class-wc-product-data-store-cpt.php
table:wp_term_taxonomy,ENTITY_TYPE:TABLE ENTITY_VALUE:wp_term_taxonomy ACCESSED_BY_FUNCTIONS:clean_term_cache() wp_insert_term() _split_shared_term() wp_update_term() ACCESSED_BY_FILES:/var/www/html/wp-includes/taxonomy.php /var/www/html/wp-admin/includes/ajax-actions.php /var/www/html/wp-admin/edit-tags.php
